FILENAME,x,y,width,height,RECENT
B_028-0120-1.3.jpg,479,308,248,224,85150
B_003-2017-1.1.jpg,341,381,394,333,85151
B_019-0025-1.0.jpg,492,272,204,190,85152
B_002-4194-1.5.jpg,636,318,157,157,85153
B_013-0124-2.1.jpg,393,307,214,193,85154
B_010-0095-1.1.jpg,379,241,228,212,85155
B_011-0087-1.4.jpg,350,288,224,227,85156
B_019-0231-1.3.jpg,536,327,154,150,85157
B_019-0303-1.0.jpg,474,340,181,177,85158
B_001-0013-1.1.jpg,333,324,188,173,85159
M_028-0128-1.0.jpg,367,219,377,337,85160
B_002-0618-1.1.jpg,577,361,173,158,85161
B_003-1099-1.0.jpg,438,232,397,362,85162
B_004-0245-1.0.jpg,111,119,308,299,85163
B_005-0010-1.2.jpg,510,244,187,171,85164
M_005-0080-1.1.jpg,367,178,403,373,85165
B_003-3075-1.1.jpg,389,339,283,269,85166
B_022-0106-1.2.jpg,463,343,210,206,85167
B_002-2188-1.2.jpg,564,277,402,372,85168
M_002-0680-1.0.jpg,369,277,244,229,85169
B_010-0113-1.2.jpg,369,301,220,213,85170
M_014-0279-1.1.jpg,221,161,341,322,85171
B_002-3278-1.1.jpg,619,441,257,259,85172
B_013-0098-1.0.jpg,470,300,199,187,85173
B_003-4035-3.1.jpg,117,197,253,243,85174
M_003-0120-1.0.jpg,307,268,203,197,85175
B_030-0008-1.2.jpg,491,368,353,343,85176
B_010-0077-1.1.jpg,161,212,618,526,85177
M_014-0234-1.0.jpg,325,222,214,202,85178
B_013-0102-1.1.jpg,318,258,329,302,85179
B_022-0098-1.1.jpg,563,312,306,321,85180
M_030-0014-1.0.jpg,399,260,273,266,85181
M_013-0082-1.3.jpg,448,278,233,238,85182
B_027-0116-1.0.jpg,433,250,249,246,85183
B_011-0205-1.1.jpg,418,222,152,149,85184
M_009-0076-1.1.jpg,310,483,308,273,85185
B_022-0042-1.4.jpg,561,309,263,252,85186
B_017-0108-1.1.jpg,666,450,214,203,85187
B_014-0143-1.1.jpg,474,271,247,236,85188
B_003-0101-1.0.jpg,421,174,319,289,85189
B_030-0034-1.0.jpg,606,251,318,312,85190
B_002-0895-1.1.jpg,236,157,272,263,85191
M_002-0227-1.4.jpg,287,231,189,189,85192
B_005-0049-1.3.jpg,348,157,333,316,85193
B_026-0153-1.1.jpg,411,217,397,367,85194
B_004-0091-1.1.jpg,151,119,310,276,85195
M_014-0121-1.0.jpg,277,266,208,198,85196
B_014-0037-2.0.jpg,301,216,342,316,85197
B_011-0207-1.1.jpg,399,246,334,323,85198
B_001-0148-1.0.jpg,298,192,564,533,85199
B_015-0027-1.0.jpg,287,203,518,468,85200
B_003-2089-2.1.jpg,84,183,302,274,85201
B_002-2839-1.0.jpg,156,144,374,351,85202
M_025-0001-1.4.jpg,373,173,172,162,85203
M_014-0162-1.1.jpg,226,243,289,288,85204
B_009-0097-1.0.jpg,146,184,138,131,85205
M_030-0112-1.0.jpg,135,123,551,473,85206
B_022-0039-1.1.jpg,381,279,293,267,85207
B_020-0195-1.0.jpg,458,278,221,209,85208
B_009-0028-2.1.jpg,167,130,373,340,85209
B_003-3117-1.1.jpg,430,403,208,200,85210
B_009-0085-1.1.jpg,234,223,146,138,85211
B_002-0172-1.2.jpg,195,157,359,322,85212
B_019-0031-1.1.jpg,559,282,322,313,85213
B_020-0302-2.0.jpg,164,158,424,381,85214
B_003-4137-1.1.jpg,207,161,181,181,85215
M_010-0112-1.0.jpg,305,212,490,484,85216
B_011-0080-1.1.jpg,325,249,278,257,85217
B_028-0261-1.3.jpg,270,214,564,520,85218
B_009-0001-1.1.jpg,371,218,330,309,85219
B_002-4382-1.1.jpg,463,223,204,203,85220
B_022-0027-1.1.jpg,456,241,236,220,85221
M_002-4778-1.2.jpg,675,360,259,258,85222
B_002-4214-1.1.jpg,528,507,222,212,85223
B_019-0218-1.1.jpg,353,263,410,363,85224
B_020-0265-1.0.jpg,190,163,590,521,85225
B_003-2118-1.3.jpg,520,179,237,212,85226
M_013-0058-1.1.jpg,374,309,281,278,85227
B_003-3149-1.3.jpg,244,221,301,272,85228
B_022-0173-1.0.jpg,197,288,291,267,85229
B_019-0037-1.0.jpg,471,316,206,197,85230
